THERMOCONTROL INGENIERIA;ANTEZANA Nº 432;Bolivia;38, 39, 40;NO TIENE;https://www.facebook.com/ThermocontrolIngenieria?ref=ts&fref=ts
BANCO UNION S.A.;Av. Ballivian Nº 725;Bolivia;18, 19, 20, 21, 22;http://www.bancounion.com.bo/;https://www.facebook.com/bancounion
MADERA DECORATIVA;COLINA GS DPTO I SURQUILLO;Integracion;11;NO TIENE;NO TIENE 
PISABOL S.R.L.;C. IRIGOYEN N°33 SARCO entre Moyo Moyo y Yuqui;Bolivia;7;http://www.bo.all.biz/pisabol-srl-e1766;NO TIENE 
IMPORT MAURY WEIDERS;ESTEBAN ARCE 1579;Bicentenario;54, 55;NO TIENE;NO TIENE 
PISABOL S.R.L.;C. IRIGOYEN N°33 SARCO entre Moyo Moyo y Yuqui;Internacional;117;http://www.bo.all.biz/pisabol-srl-e1766;https://www.facebook.com/pages/Pisabol-SRL/377406072316097?fref=ts
SIMSA - SOCIEDAD INDUSTRIAL MOLINERA S.A.;Av. Chacaltaya Nº 774;Bolivia;2, 3;http://www.cabolqui.org/es/miembros/sociedad-industrial-molinera-sa/;NO TIENE 
SILDEC SRL;C. Esteban Arce Nº 1417;Bolivia;53, 54, 55, 56;NO TIENE;NO TIENE 
ARTESANIAS SAM;Psje. Camponovo y Av. Simon Lopez esq Colquiri;Integracion;5;NO TIENE;NO TIENE 
MARMOL ONIX;Psje ZENTENO ANAYA ARZOBISPADO LOCAL 1;Bicentenario;16;NO TIENE;NO TIENE 
MADIMAQ;Av. BEIGIN Nº 500;Bicentenario;52;NO TIENE;NO TIENE 
TCOP IMPORT EXPORT SRL;C. 16 De Julio Nº 278;Bicentenario;27;NO TIENE;NO TIENE 
LA VITALICIA SEGUROS Y REASEGUROS DE VIDA S.A.;Av. LIBERTADOR BOLIVAR N°1858;Bolivia;9, 10;http://www.lavitaliciaseguros.com/;https://www.facebook.com/pages/La-Vitalicia-Seguros-Y-Reaseguros-De-Vida-SA/380169942028977?fref=ts
BOLTEC;Av. ALEMANA ENTRE 6TO Y 7MO ANILLO Nº 6196;Bicentenario;98, 99;http://www.boltec.com.bo/;https://www.facebook.com/boltecmaquinaria?fref=ts
OPTICA ROCHESTER SRL;Av. SAN MARTIN N° 0222;Bolivia;99, 100, 114;http://es.boliviayp.com/company/58881/ROCHESTER_TU_%C3%93PTICA;NO TIENE 
